name,horizon,scope,candidate,folds,accuracy,median_accuracy,auc,f1_macro,majority_accuracy,persistence_accuracy,rows_train,rows_test,path
OLD daily selected compact,daily,old 2015-2026 fixed split,selected,,0.5547619047619048,,0.5697067960724733,0.5441777323799796,,,2032.0,840.0,ml\classification\results_daily_selected_model_v1\selected_daily_model_metrics.csv
NEW daily long selected,daily,new 2007-2026 no-ACLED fixed split,selected,,0.530952380952381,,0.5332003015890113,0.4929370307951586,,,3971.0,840.0,ml\classification\results_daily_long_no_acled_selected_model_v1\selected_daily_model_metrics.csv
OLD daily selected walk-forward,daily,old 2015-2026 yearly WF,selected_lgbm,6.0,0.5466844626228674,0.5508841732979664,0.549173627768654,0.5302630151414819,0.5115113701386406,0.49424784899909935,1901.6666666666667,261.0,ml/classification/results_daily_selected_plan_v1/walk_forward_metrics.csv
NEW daily long selected walk-forward,daily,new 2007-2026 no-ACLED yearly WF,selected_lgbm,11.0,0.524060271862325,0.5210727969348659,0.5395184921356239,0.49174834608875445,0.49370767426834805,0.4877983471297501,3188.3636363636365,260.90909090909093,ml/classification/results_daily_long_no_acled_selected_plan_v1/walk_forward_metrics.csv
OLD weekly compact best,weekly,old 2015-2026 compact WF,domain_mi_top4_each__lgbm,6.0,0.568577648766328,0.5673076923076923,0.5428504939449467,0.513408526267724,0.5364658925979681,0.5205007256894049,,,ml\classification\results_weekly_multifactor_compact_v3\candidate_summary.csv
OLD weekly v2 best,weekly,old 2015-2026 multifactor WF,gdelt_only_threshold_f1_macro,6.0,0.5620464441219158,0.5480769230769231,0.5401240036547383,0.5209786875113553,0.5364658925979681,0.5205007256894049,,,ml\classification\results_weekly_multifactor_no_acled_gdelt_v2\candidate_summary.csv
NEW weekly long expanding best,weekly,new 2007-2026 expanding WF,stable_mi_top5_each__logreg,14.0,0.5345479991706407,0.5576923076923077,0.5422499323704427,0.4627311436125376,0.5148247978436657,0.5052871656645241,,,ml\classification\results_weekly_long_multifactor_no_acled_gdelt_v2_fixed_gdelt\candidate_summary.csv
NEW weekly long compact best,weekly,new 2007-2026 compact expanding WF,stable_mi_top5_each__logreg,14.0,0.534522081691893,0.5384615384615385,0.5273654147709852,0.4826075833709024,0.5148247978436657,0.5052871656645241,,,ml\classification\results_weekly_long_no_acled_compact_v3_fixed_gdelt\candidate_summary.csv
NEW weekly rolling best,weekly,new 2007-2026 rolling 8y WF,roll8y__all_group_mi_top3_each__logreg_c1,11.0,0.5628381052909355,0.5576923076923077,0.5685185799918485,0.4962005504762621,0.5066301622905397,0.5172186304261776,413.7272727272728,,ml\classification\results_weekly_rolling_window_v2_tuned_saved\candidate_summary.csv
