date,ovx_close,move_close,gold_close
2015-01-02,54.25,70.0,1186.0
2015-01-05,57.66999816894531,71.5,1203.9000244140625
2015-01-06,56.45000076293945,84.9000015258789,1219.300048828125
2015-01-07,53.25,85.19999694824219,1210.5999755859375
2015-01-08,50.959999084472656,85.19999694824219,1208.4000244140625
2015-01-09,50.06999969482422,80.5999984741211,1216.0
2015-01-12,53.130001068115234,81.9000015258789,1232.699951171875
2015-01-13,53.779998779296875,83.0,1234.300048828125
2015-01-14,53.16999816894531,85.30000305175781,1234.4000244140625
2015-01-15,57.77000045776367,85.30000305175781,1264.699951171875
2015-01-16,56.439998626708984,92.5999984741211,1276.9000244140625
2015-01-20,57.9900016784668,90.5999984741211,1294.199951171875
2015-01-21,55.09000015258789,88.30000305175781,1293.699951171875
2015-01-22,56.400001525878906,85.0999984741211,1300.699951171875
2015-01-23,57.619998931884766,89.9000015258789,1292.5999755859375
2015-01-26,56.650001525878906,85.30000305175781,1279.4000244140625
2015-01-27,54.22999954223633,86.19999694824219,1291.699951171875
2015-01-28,55.18000030517578,86.4000015258789,1285.9000244140625
2015-01-29,54.689998626708984,86.5999984741211,1254.5999755859375
2015-01-30,58.619998931884766,,1278.5
2015-02-02,57.84000015258789,88.0999984741211,1276.199951171875
2015-02-03,59.68000030517578,92.69999694824219,1259.699951171875
2015-02-04,62.72999954223633,92.30000305175781,1263.800048828125
2015-02-05,63.13999938964844,93.0,1262.0
2015-02-06,60.83000183105469,93.69999694824219,1233.9000244140625
2015-02-09,56.0,95.0999984741211,1240.800048828125
2015-02-10,59.290000915527344,95.3499984741211,1231.5999755859375
2015-02-11,60.22999954223633,94.19999694824219,1219.0
2015-02-12,58.689998626708984,91.5999984741211,1220.0999755859375
2015-02-13,55.529998779296875,91.4000015258789,1226.5
2015-02-17,56.33000183105469,91.80000305175781,1208.0999755859375
2015-02-18,55.970001220703125,91.4000015258789,1199.699951171875
2015-02-19,55.75,98.5,1207.0999755859375
2015-02-20,54.0,98.30000305175781,1204.4000244140625
2015-02-23,58.66999816894531,97.69999694824219,1200.300048828125
2015-02-24,56.27000045776367,94.0999984741211,1196.9000244140625
2015-02-25,54.93000030517578,91.5,1201.0
2015-02-26,56.459999084472656,90.5,1209.5999755859375
2015-02-27,55.849998474121094,91.4000015258789,1212.5999755859375
2015-03-02,54.91999816894531,90.19999694824219,1207.699951171875
2015-03-03,53.04999923706055,91.80000305175781,1204.0
2015-03-04,48.91999816894531,90.69999694824219,1200.5999755859375
2015-03-05,47.09000015258789,89.30000305175781,1195.9000244140625
2015-03-06,48.959999084472656,86.5999984741211,1164.0999755859375
2015-03-09,48.9900016784668,84.0,1166.4000244140625
2015-03-10,50.91999816894531,84.4000015258789,1160.0999755859375
2015-03-11,49.16999816894531,85.0,1150.699951171875
2015-03-12,49.59000015258789,85.5999984741211,1152.0999755859375
2015-03-13,54.560001373291016,86.0999984741211,1152.5999755859375
2015-03-16,56.93000030517578,84.80000305175781,1153.300048828125
2015-03-17,59.849998474121094,86.30000305175781,1148.300048828125
2015-03-18,53.650001525878906,85.69999694824219,1151.4000244140625
2015-03-19,53.81999969482422,87.80000305175781,1169.0999755859375
2015-03-20,50.84000015258789,86.5,1184.800048828125
2015-03-23,49.31999969482422,84.9000015258789,1188.0
2015-03-24,47.939998626708984,83.69999694824219,1191.699951171875
2015-03-25,47.029998779296875,84.19999694824219,1197.300048828125
2015-03-26,49.58000183105469,86.19999694824219,1205.0999755859375
2015-03-27,52.84000015258789,86.19999694824219,1199.800048828125
2015-03-30,51.97999954223633,86.4000015258789,1184.800048828125
2015-03-31,53.720001220703125,86.0999984741211,1183.0999755859375
2015-04-01,50.900001525878906,85.5999984741211,1208.0999755859375
2015-04-02,49.84000015258789,84.30000305175781,1200.9000244140625
2015-04-06,48.33000183105469,79.0,1218.5999755859375
2015-04-07,46.25,77.80000305175781,1210.5999755859375
2015-04-08,48.099998474121094,80.0,1203.0999755859375
2015-04-09,46.650001525878906,78.80000305175781,1193.5999755859375
2015-04-10,43.040000915527344,77.80000305175781,1204.5999755859375
2015-04-13,44.20000076293945,75.80000305175781,1199.300048828125
2015-04-14,44.650001525878906,74.80000305175781,1192.800048828125
2015-04-15,46.13999938964844,73.0,1201.5
2015-04-16,43.47999954223633,72.4000015258789,1198.0
2015-04-17,42.0,74.4000015258789,1202.9000244140625
2015-04-20,42.060001373291016,73.5,1193.5
2015-04-21,41.040000915527344,72.9000015258789,1202.9000244140625
2015-04-22,39.0099983215332,72.9000015258789,1186.9000244140625
2015-04-23,37.97999954223633,73.19999694824219,1194.4000244140625
2015-04-24,36.61000061035156,71.5999984741211,1175.199951171875
2015-04-27,37.459999084472656,71.0,1203.300048828125
2015-04-28,37.310001373291016,72.9000015258789,1214.0
2015-04-29,36.68000030517578,73.9000015258789,1209.800048828125
2015-04-30,36.279998779296875,75.30000305175781,1182.4000244140625
2015-05-01,35.619998931884766,78.9000015258789,1174.5
2015-05-04,36.20000076293945,81.0999984741211,1186.800048828125
2015-05-05,36.2400016784668,87.69999694824219,1193.199951171875
2015-05-06,36.880001068115234,91.0,1190.300048828125
2015-05-07,38.130001068115234,89.5999984741211,1182.4000244140625
2015-05-08,35.09000015258789,80.9000015258789,1189.0999755859375
2015-05-11,34.86000061035156,84.0999984741211,1183.199951171875
2015-05-12,33.7400016784668,87.4000015258789,1192.5999755859375
2015-05-13,34.33000183105469,85.5999984741211,1218.4000244140625
2015-05-14,32.630001068115234,83.19999694824219,1225.4000244140625
2015-05-15,29.950000762939453,83.19999694824219,1225.5
2015-05-18,30.6299991607666,88.19999694824219,1227.800048828125
2015-05-19,34.81999969482422,87.66999816894531,1206.9000244140625
2015-05-20,33.70000076293945,87.6500015258789,1208.9000244140625
